 EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-11-2017
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTANDER/PARAYAS, SPAIN (STAID: 3923)
Blended and updated with sources:19990 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3923, 19990,19540511,    0,    0
  3923, 19990,19540512,    0,    0
  3923, 19990,19540513,    0,    0
  3923, 19990,19540514,    0,    0
  3923, 19990,19540515,   18,    0
  3923, 19990,19540516,  322,    0
  3923, 19990,19540517,    2,    0
  3923, 19990,19540518,    0,    0
  3923, 19990,19540519,    0,    0
  3923, 19990,19540520,    0,    0
  3923, 19990,19540521,    0,    0
  3923, 19990,19540522,   26,    0
  3923, 19990,19540523,   26,    0
  3923, 19990,19540524,    0,    0
  3923, 19990,19540525,    0,    0
  3923, 19990,19540526,    0,    0
  3923, 19990,19540527,    0,    0
  3923, 19990,19540528,    6,    0
  3923, 19990,19540529,    0,    0
  3923, 19990,19540530,    0,    0
  3923, 19990,19540531,    0,    0
  3923, 19990,19540601,   30,    0
  3923, 19990,19540602,   50,    0
  3923, 19990,19540603,   21,    0
  3923, 19990,19540604,    0,    0
  3923, 19990,19540605,   22,    0
  3923, 19990,19540606,    0,    0
  3923, 19990,19540607,    0,    0
  3923, 19990,19540608,    0,    0
  3923, 19990,19540609,    7,    0
  3923, 19990,19540610,   12,    0
  3923, 19990,19540611,    0,    0
  3923, 19990,19540612,    0,    0
  3923, 19990,19540613,    0,    0
  3923, 19990,19540614,    0,    0
  3923, 19990,19540615,    0,    0
  3923, 19990,19540616,   10,    0
  3923, 19990,19540617,    0,    0
  3923, 19990,19540618,    0,    0
  3923, 19990,19540619,    1,    0
  3923, 19990,19540620,    0,    0
  3923, 19990,19540621,    0,    0
  3923, 19990,19540622,    0,    0
  3923, 19990,19540623,    0,    0
  3923, 19990,19540624,    0,    0
  3923, 19990,19540625,    0,    0
  3923, 19990,19540626,    0,    0
  3923, 19990,19540627,   21,    0
  3923, 19990,19540628,   18,    0
  3923, 19990,19540629,   20,    0
  3923, 19990,19540630,   30,    0
  3923, 19990,19540701,    0,    0
  3923, 19990,19540702,    0,    0
  3923, 19990,19540703,    5,    0
  3923, 19990,19540704,    6,    0
  3923, 19990,19540705,    0,    0
  3923, 19990,19540706,    0,    0
  3923, 19990,19540707,    0,    0
  3923, 19990,19540708,    0,    0
  3923, 19990,19540709,    4,    0
  3923, 19990,19540710,   13,    0
  3923, 19990,19540711,   80,    0
  3923, 19990,19540712,    5,    0
  3923, 19990,19540713,    0,    0
  3923, 19990,19540714,    0,    0
  3923, 19990,19540715,    0,    0
  3923, 19990,19540716,    0,    0
  3923, 19990,19540717,    0,    0
  3923, 19990,19540718,   23,    0
  3923, 19990,19540719,    0,    0
  3923, 19990,19540720,    0,    0
  3923, 19990,19540721,    0,    0
  3923, 19990,19540722,    0,    0
  3923, 19990,19540723,    0,    0
  3923, 19990,19540724,    0,    0
  3923, 19990,19540725,    0,    0
  3923, 19990,19540726,    0,    0
  3923, 19990,19540727,   18,    0
  3923, 19990,19540728,    0,    0
  3923, 19990,19540729,    0,    0
  3923, 19990,19540730,    0,    0
  3923, 19990,19540731,    0,    0
  3923, 19990,19540801,    0,    0
  3923, 19990,19540802,    0,    0
  3923, 19990,19540803,   26,    0
  3923, 19990,19540804,   22,    0
  3923, 19990,19540805,    0,    0
  3923, 19990,19540806,   46,    0
  3923, 19990,19540807,    0,    0
  3923, 19990,19540808,    0,    0
  3923, 19990,19540809,   35,    0
  3923, 19990,19540810,    0,    0
  3923, 19990,19540811,    0,    0
  3923, 19990,19540812,    7,    0
  3923, 19990,19540813,  105,    0
  3923, 19990,19540814,   99,    0
  3923, 19990,19540815,   55,    0
  3923, 19990,19540816,    0,    0
  3923, 19990,19540817,   32,    0
  3923, 19990,19540818,   88,    0
  3923, 19990,19540819,  177,    0
  3923, 19990,19540820,  251,    0
  3923, 19990,19540821,  297,    0
  3923, 19990,19540822,    0,    0
  3923, 19990,19540823,   25,    0
  3923, 19990,19540824,  186,    0
  3923, 19990,19540825,    0,    0
  3923, 19990,19540826,    0,    0
  3923, 19990,19540827,    0,    0
  3923, 19990,19540828,    0,    0
  3923, 19990,19540829,    0,    0
  3923, 19990,19540830,    0,    0
  3923, 19990,19540831,    4,    0
  3923, 19990,19540901,    0,    0
  3923, 19990,19540902,    0,    0
  3923, 19990,19540903,    0,    0
  3923, 19990,19540904,  270,    0
  3923, 19990,19540905,    0,    0
  3923, 19990,19540906,    0,    0
  3923, 19990,19540907,    0,    0
  3923, 19990,19540908,    0,    0
  3923, 19990,19540909,    0,    0
  3923, 19990,19540910,    0,    0
  3923, 19990,19540911,    0,    0
  3923, 19990,19540912,    0,    0
  3923, 19990,19540913,  151,    0
  3923, 19990,19540914,  251,    0
  3923, 19990,19540915,    0,    0
  3923, 19990,19540916,    0,    0
  3923, 19990,19540917,    0,    0
  3923, 19990,19540918,    0,    0
  3923, 19990,19540919,    3,    0
  3923, 19990,19540920,    0,    0
  3923, 19990,19540921,   12,    0
  3923, 19990,19540922,  306,    0
  3923, 19990,19540923,   55,    0
  3923, 19990,19540924,    0,    0
  3923, 19990,19540925,    0,    0
